text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None,subtask1
antifa domestic terrorists elderly people can be nazis kk being old does not exempt you from criticism terrorists murder people antifa has not killed anyone kk neo nazis white supremacists have killed thousands,0,1,0,1,0,0,0,0,1,NOT
idk why did you link it to wanting to kill illegal immigrants you do know that non white people can buy guns right or should i go take them from my black friends,0,1,0,1,0,0,0,0,1,NOT
common sense says the solution to every problem in the world is white men jews say the problem with everything in the world is white men it would seem that jews are a problem,0,0,1,0,0,1,0,0,0,OFFN
no dear we hate you because you ain t true,0,1,0,0,0,0,0,0,1,NOT
just watched videos of gangs of niggers beating up white people and got super blackpilled,0,1,0,1,1,0,0,0,0,NOT
florida has a major muzrat problem and it has leached into the gov t,0,0,1,0,0,1,0,0,0,OFFN
russia is a bitch of jews,1,0,0,1,0,1,0,0,0,HATE
she should of raped and abused young white girls would of turned a blind eye,0,0,1,1,0,0,1,0,0,OFFN
while they purging free speech on social media honestly i think they created free speech web to see how many people come here and what they say against them go to go now need to work to support oppressed niggers fs habits,0,0,1,1,1,0,0,0,0,OFFN
well of course hockey players will have some respect they are mostly white niggers can t play hockey the sport involves too much fast abstract reasoning something the average nigger ain t capable of the few shit skin nhl players i have heard of are watered down quadroons mostly white genes,1,0,0,1,1,0,0,0,0,HATE
but things are evolving i think they would now look what those blm sheboons did to bernie,1,0,0,1,1,0,1,0,0,HATE
you all i got thrown in twitter jail for replying to tweet about ivanka my reply was this utter white trash wtf,1,0,0,1,1,0,0,1,0,HATE
i hate to be the bringer of bad news but his real name is mark shouldice and he just another shapeshifting kike e merch chasing shekels look that name up,1,0,0,1,0,1,0,0,0,HATE
this retarded cursive talking ass bitch be ready to like some shit,0,0,1,1,0,0,0,0,1,OFFN
watching my retarded cat play with catnip is probably the best part of my day guys,0,0,1,1,0,0,0,1,0,OFFN
beat it asshole i have already argued with enough kyke shills today,1,0,0,1,0,1,0,0,0,HATE
or just wait until you have been busted with a car full of teenage boys and alcohol and you are already the county second most famous homosexual pervert oh lookee here i just found a get out of jail free card,0,0,1,1,0,0,1,0,0,OFFN
she is gay,0,1,0,1,0,0,1,0,0,NOT
oh no being a mediocre white guy is not panning out wah time to be a nazi,0,0,1,1,0,0,0,0,0,OFFN
zia illuminates how dynamics of gender and trauma in kashmir have been transformed in the face of south asia longest running conflict providing profound insight into how kashmiri women men nurture a politics of resistance while facing increasing military violence under india,0,1,0,1,0,0,0,0,1,NOT
it is not set up yet it for donations to my legal fund only i have not even enabled it there no bank account attached yet any more questions nigger lover lover,1,0,0,1,1,0,0,0,0,HATE
new to nsfw twitter us soft hard dom single lesbian she her lt rt for mutual,0,0,1,1,0,0,0,0,0,OFFN
niggas is faggots bidding like that if you ask me,0,1,0,1,0,0,0,0,1,NOT
how maney of you ladies are attracted to older women,0,1,0,1,0,0,0,0,1,NOT
it a mediocre tinder knockoff where women are required to message men first it useless in eastern europe because the only women who use it are british or irish tourists,0,0,1,1,0,0,1,0,0,OFFN
sorry patience has worn thin at this point if any of these kike lovers even mentions isreal i mute them i do not want my screen getting infected with degeneracy,1,0,0,1,0,1,0,0,0,HATE
a nigga have a baby on me i swear i ll take out the whole family sorry not sorry,1,0,0,1,1,0,0,0,0,HATE
some of them are still young and none of you think how will these things might affect their mental health and how they will lose confidence reading those articles and what will their parents feel about it i fucking hate you all,0,1,0,1,0,0,0,0,1,NOT
did you know the only time moslem women can walk before men,0,1,0,0,0,0,0,0,1,NOT
hp sucks just bought a new laptop and it randomly boots me from the internet the only support they have are sand niggers in india no way are they getting access to my computer save your cash this company is selling junk,0,0,1,1,1,0,0,0,0,OFFN
but dirty jewellery billie pls,0,1,0,1,0,0,0,0,1,NOT
no one cares kike,1,0,0,1,0,1,0,0,0,HATE
speaking of i am planning on drawing a poc angel and white devil artwork soon,0,1,0,0,0,0,0,0,1,NOT
i rather eat mah own shit then go out wit a nigger bich who look like king kong,1,0,0,1,1,0,0,0,0,HATE
anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,0,0,1,1,0,0,1,0,0,OFFN
obama was ghetto bigger so yes,0,0,1,1,1,0,0,0,0,OFFN
this bitch was a sand nigger kept rape toy and has done nothing but come back for seconds time and time again these people are fucking broken,1,0,0,1,1,1,0,0,0,HATE
go one better and let it out free charge to some middle eastern refugees,0,1,0,0,0,0,0,1,0,NOT
no one is talking about that it about civility and respect disagree all you want but do it right you know stuff that men did until they became brainwashed by the liberals into thinking women should be treated like men,1,0,0,1,0,0,1,0,0,HATE
i think we are past the negotiation phase it time to issue an ultimatum all sand niggers and kikes out of america or get executed an invader,1,0,0,1,1,1,0,0,0,HATE
that two nazi faggot scalps you are next,1,0,0,1,0,0,1,0,0,HATE
i fucking hate you but i love you,0,0,1,1,0,0,0,0,1,OFFN
paul joseph watson m2 minutes ago paul joseph watson retweeted bernie sanders bernie is right the diversity of women hating gay killing minority oppressing middle eastern dictatorships that fund hillary is varied,0,1,0,1,0,0,1,0,0,NOT
so the major reason that moslem commit murder etc is because that the only way their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden,0,0,1,1,0,1,0,0,0,OFFN
what bakunin found onerous in marx politics both in its strategy and its goal was the idea of representation as a political concept where there is representation there is oppression anarchism can be defined as the struggle against representation in public life,0,1,0,1,0,0,0,0,1,NOT
just like close friendship is basicly gay relationship,0,0,1,1,0,0,1,0,0,OFFN
oh god please no biker boomer memes and retarded hasbara,0,1,0,1,0,0,0,0,1,NOT
watching queer as folk in my late teens and early i want to move to toronto and party all the damn time rewatching queer as folk in my late and early i want to settle the fuck down and live a blissful domestic life jfc,0,1,0,1,0,0,0,0,1,NOT
the illiterates immigrants and fkn mongs must not forget what they are,0,0,1,1,0,0,0,0,0,OFFN
i called a dumb nigger every day for a month,1,0,0,1,1,0,0,0,0,HATE
it is bad hun xoxo if you get raped do not ask for help you have been warned,0,1,0,1,0,0,0,0,1,NOT
smallest amount in the kike bowl,1,0,0,1,0,1,0,0,0,HATE
so naturally because a few nigger slaves hauled a few wheelbarrows full of bricks that means the white house was built by slaves,1,0,0,1,1,0,0,0,0,HATE
and me is a kike company they started to see how the agenda is going,1,0,0,1,0,1,0,0,0,HATE
apparently the leader using the name grandpa tuarus believes he is all powerful and has the right to send out orders for little asian women to get raped and kidnapped,0,1,0,1,0,0,0,0,1,NOT
mislims r brothers to each other rich muslim countries should support poor islamic countries it investment without any loss,0,1,0,1,0,0,0,0,1,NOT
great diversify london police force with low iq mildly retarded moslem shit skins put the crazies in charge of law enforcement brilliant just fucking brilliant,1,0,0,1,0,1,0,0,0,HATE
yeah but what the f happened to them alu snack bar or some nonsense like that we can only expect the the mussie call to prayer now all,1,0,0,0,0,1,0,0,0,HATE
you go by gay f word as well right,0,1,0,1,0,0,1,0,0,NOT
let us give the women of europe some ammunition and training so they can defend themselves,0,0,1,0,0,0,0,0,1,OFFN
a quick web search turns up that in some ancient cultures polygyny was explicitly restricted to cases where the woman failed to yield children does the bible have that restriction not that i have seen jacob had children with four women simultaneously it would appear you are simply wrong,0,0,1,0,0,1,0,0,0,OFFN
wait so what did white people think about arabs before like were we just regular sand monkeys before being terrorist sand monkeys or,0,1,0,0,0,0,0,0,1,NOT
pussy nigger loving loser,1,0,0,1,1,0,0,0,0,HATE
its not even sometimes it just hits you sudden force saying africa by toto now,0,1,0,0,0,0,0,0,1,NOT
you are fuckin a right i am hateful hateful of cowards and deceivers now let see the proof i doxxed some faggot or told people to make pipe bombs you worthless subhuman cunt,1,0,0,1,0,0,0,0,1,HATE
better call the anti defamation league you gay jew faggot,0,0,1,1,0,1,1,0,0,OFFN
call others ignorant and stupid say th grade level things about a topic you have not researched what was it like learning about your white guilt for k a year did it make you feel like a good person,0,1,0,1,0,0,0,0,1,NOT
is a dolphin just a gay shark,0,1,0,1,0,0,1,0,0,NOT
grandparents are quite a drain on the budget kill all grandparents,1,0,0,1,0,0,0,1,0,HATE
i am mitte zie only good beaner is one that is dead,1,0,0,1,1,0,0,0,0,HATE
the refugee boats are beginning to arrive from twitter now the leftists are cyber bombing virtual communities too so the real land of libya was not enough destruction and chaos for them hope the freehold of gab can handle the influx of refugees gabfam,0,1,0,1,0,0,0,0,0,NOT
you can not love god and hate your brother,0,1,0,0,0,0,0,0,1,NOT
it ll be interesting to see the language in these executive orders on immigration tomorrow trump is being a bad ass and keeping his word i am enjoying this now he needs to get high risk undocumented refugees and illegal immigrants the hell out of this country especially muslim fighter types,1,0,0,1,0,1,0,1,0,HATE
i can t believe how many white people are in the business of using mlk as the model protestor when he was murdered by a white supremacist,0,1,0,1,1,0,0,0,0,NOT
nonsense obama could do what he wanted because there was no opposition and no judges over ruling him trump is opposed by dems republicans all levels of judges the media the bureaucracies the deep state and his own kike cabinet and shysters and family,1,0,0,1,0,1,0,0,0,HATE
over the next week up until trump become potus we will see some of the most ridiculous and idiotic behavior yet from the left as psychotic panic and hate sets in deeper into the brainless minds of the lunatic liberals they will resort to uncontrollable violence and insane deadly behavior,0,0,1,1,0,0,0,1,0,OFFN
america does not pass as many anti speech laws because st amendment corporations churches and mobs of brainwashed masses are already pretty effective at shutting down dissident voices by using violence and by getting dissenters fired people like to feed their families,0,1,0,1,0,0,0,0,1,NOT
some people are straight up retarded,0,0,1,1,0,0,0,0,1,OFFN
implies female sand niggers are hot ignores the bin bag they wear to hide their hideousness,1,0,0,1,1,0,1,0,0,HATE
she not wrong though normies nogs and queers have no idea but without white europeans and the colonialists dabbling in the slave trade for the short time they did blacks would have never had american opportunities they should all be saying thank you,1,0,0,1,1,0,1,0,0,HATE
that how institutional racism with help from police state and white supremacy system is operating,0,1,0,1,0,0,0,0,1,NOT
the left wants you to believe that the word nigger defines a race but it does not it defines a character,1,0,0,1,1,0,0,0,0,HATE
you alt lite queers need to pick a side pro white or anti white race mixers and thot defenders deserve the rope,1,0,0,1,0,0,1,1,0,HATE
is it wrong that i d pay fairly decent money to see him being raped by a labrador and if it is is it more wrong than dead due to tory austerity,0,1,0,1,0,0,0,0,1,NOT
aryan goddess taylor anti kike forcefield,1,0,0,1,0,1,0,0,0,HATE
i so agreed with what he said it wasn t extraordinary it wasn t special he did his effing job as anybody would have in the same situation tired of them canonizing and romanticizing this hillbilly cousin marrying buffoon,0,1,0,1,0,0,0,0,1,NOT
i think it worse than that it is almost like the campaign to legalise homosexuality in the early they are wanting to make it normal it only took the queers until about,1,0,0,1,0,0,1,0,0,HATE
the fact that you had and mikes and some vodkaa bro you were asking for it you can not mix four loko with no other alcohol unless you tryna die,0,1,0,1,0,0,0,0,1,NOT
i fucking hate you bro,0,1,0,1,0,0,0,0,1,NOT
black men got to vote and be president before white women so i do not want to hear about societal disadvantages females are the nigger of gender,1,0,0,1,1,0,1,0,0,HATE
earlier today i was wondering if i was manic or not and i almost fought some dumb bitch at a stop light so i d say ya i am most definitely manic,0,0,1,1,0,0,1,0,0,OFFN
make amuriker kike again and again and again and,1,0,0,1,0,1,0,0,0,HATE
at least she does not look like a man like of negresses out there the remaining just look like hermaphrodites lol btw i mute niggers go ahead and reply like a retarded monkey knowing i will never read your ooks and eeks,1,0,0,1,1,0,0,0,0,HATE
i gotz muh diploma in writin i iz a clever nigger,1,0,0,1,1,0,0,0,0,HATE
no like they retarded,0,0,1,1,0,0,0,0,1,OFFN
these niggas ruined the toyota supra image super bowl,0,1,0,1,0,0,0,0,1,NOT
swear to god the most hateful racism experienced by minorities are caused by whites and asians,0,1,0,0,1,0,0,0,0,NOT
egad my home is being invaded by black ants i wonder if this is some sort of cosmic symbolism for the third world immigrant invasion probably not i have not heard of any mexicans getting crushed by the thumb of damocles,0,0,1,1,1,0,0,1,0,OFFN
alex is my friend not a stupid nigger other alex is,1,0,0,1,1,0,0,0,0,HATE
which is going to refugees for food clothes water etc not actual ladders,0,1,0,0,0,0,0,0,1,NOT
last time i spoke to him he told me that jews are trying to take over the world,0,1,0,0,0,1,0,0,0,NOT
i feel so shame these people probably think i am a retard or something,0,1,0,1,0,0,0,0,1,NOT
every female in boston think they better than everybody else lmao bitch humble ya self you look fuckn ridiculous,0,0,1,1,0,0,1,0,0,OFFN
the kikes commies who have usurped the jewk the rest of western europe have opened the gates to millions of sand niggers africoons who are predictably raping murdering whites and they arrest any whites who protest they must be killed simple as that,1,0,0,1,1,1,0,0,0,HATE
forever lean stripper pole bitch this nigger purple sprite,0,0,1,1,1,0,0,0,0,OFFN
this propaganda campaign worked with gay marriage the supreme court overturned the will of the people and christians are now being persecuted by their own government that was always the gay marriage endgame and a helpless populace is gun control endgame,0,1,0,1,0,0,1,0,0,NOT
if jews are white and jews are also not white then there is no such thing as a jew because one thing can not be another,0,1,0,0,0,0,0,0,1,NOT
now now you naughty little slut,0,0,1,1,0,0,0,0,1,OFFN
beta orbiter literally just saying i do not believe you are a female and that makes someone a beta orbiter jesus you are retarded i actually take it back you must be a woman to be this stupid,0,0,1,1,0,0,1,0,0,OFFN
fuck you nazi faggot,1,0,0,1,0,0,1,0,0,HATE
i can not handle their white asses,0,1,0,1,0,0,0,0,1,NOT
dear german cousins i hear you are under attack from false guilt muslim scum heavy censorship i can not speak for you but from australia fuck merkel,1,0,0,1,0,1,0,0,0,HATE
when the new batch of niggas come out,0,1,0,1,1,0,0,0,0,NOT
make a retard nut call that shit a download,0,0,1,1,0,0,0,0,1,OFFN
msm always lies about the muzrat terrorist attacks until after the initial outrage dies down,1,0,0,0,0,1,0,0,0,HATE
of brits think multiculturalism is a failure i guess the other are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,1,0,0,0,0,1,0,0,0,HATE
it time to purge these sand nigger savages from our country once and for all,1,0,0,1,1,1,0,0,0,HATE
mudder theresa may is a useless mudshark and no mistake,1,0,0,0,1,0,1,0,0,HATE
he dindu nuffin,0,1,0,0,0,0,0,0,1,NOT
more kike propaganda in europe almost no one circumcises their boys it genital mutilation,1,0,0,1,0,1,0,0,0,HATE
how does saying women are worth less than a non sentient fetus not denigrate the lives of women you are putting them at the bottom of the social order,0,1,0,1,0,0,0,0,0,NOT
mudshark and black diversity,0,0,1,0,0,0,1,0,0,OFFN
apparently there was a tea stain on the qu ran that blocked some text scientist have discovered what it covered mohammed was a gay prophet as is allah though mohammed went a step farther and was a tranny too,0,0,1,1,0,1,0,0,0,OFFN
this goofy ass nigga want to follow me on the gram,0,1,0,1,0,0,0,0,1,NOT
jy kelly8 hours ago edited if she really wants to act like a moslem she should get a little bit of the fgm that these scum love so much this bitch makes me sick at my stomach libs like her are the reason trump won,1,0,0,1,0,1,0,0,0,HATE
i m not going to promote anything of mine free palestine and eid mubarak to all my muslim brothers and sisters,0,1,0,0,0,1,0,0,0,NOT
she is tired of liberal faggots uwuu give me welfare open the borders i love refugees and trannies weak men turn her off she wants to be in a nationalist bed,0,0,1,1,0,0,1,0,0,OFFN
the blackguard pretends to be a barbarian at heaven,0,1,0,1,0,0,0,0,1,NOT
no i do not think it touched many women,0,1,0,0,0,0,0,0,1,NOT
surely we are allowed to use violence against them this time if they get in our way,0,1,0,1,0,0,0,0,1,NOT
we counting women too,0,1,0,0,0,0,1,0,0,NOT
i went to school with marc almonds soft cell sister she was a hebe btw,0,0,1,1,0,1,0,0,0,OFFN
well bill nye is a cuckservative faggot anyway,0,0,1,1,0,0,1,0,0,OFFN
hmhmhm now i can not pay off rent for a few more months mumbling to himself he d toss a shiny jewel into the air before catching it,0,1,0,1,0,0,0,0,1,NOT
black on black violence is impossible the white man did it whitey also didn t move in to save the save screw whitey,1,0,0,1,1,0,0,0,0,HATE
i can see these jibber jabber arabs in dresses tripping down the street with an armload of shotguns,1,0,0,1,1,0,0,0,0,HATE
devildog the uc davis protesters remind me of the bolsheviks and every communist that has lived no dialog just violence and killing reminds me also of the nazis the storm troopers and the ss,0,0,1,1,0,0,0,1,0,OFFN
this faggots came back like go home get a life,0,0,1,1,0,0,1,0,0,OFFN
the muslim invitation,0,1,0,0,0,1,0,0,0,NOT
arabs were smart they roast coffee to prevent spreading the cultivating outside yaman until smuggled out by dutch,0,1,0,0,0,0,0,0,1,NOT
if he not lazy why is he butt hurt americans are lazy compared to african countries that fact is not nearly enough reason for me not want them here african immigrants are not the enemy white supremacy is,0,1,0,1,0,0,0,0,1,NOT
whoa whoa calling all kikes and niggers the dregs of gab is a bit too woke even for me,1,0,0,1,1,1,0,0,0,HATE
if there was a grand theft auto east lansing you d be able to steal so many bomb ass cars from the asians probably all i would do,0,1,0,1,1,0,0,0,0,NOT
why is it that we always hear about how rain depresses nigger voter turnout but they will go out in a hurricane to loot and steal shit,1,0,0,1,1,0,0,0,0,HATE
saying of the population which you were clearly ignorant of was responsible for controlling the streets of all iranian cities with mass mobs was just a retarded idea and you got your face rubbed in the dirt does it all go up your nose,0,0,1,1,0,0,0,0,1,OFFN
it like deliverance dateline washington where maga folks get raped by the banjo playing establishment inhabitants of the swamp,0,0,1,1,0,0,0,0,1,OFFN
some of you all on here are hoes stop it,0,0,1,1,0,0,1,0,0,OFFN
we have never seen any fabricates of whites being harassed as breaking news in our countries in my neighborhood one white lady pressed some serious charges against a black boy for harassment after much investigation it was found that she was just lying it wasn t a breakingnews,0,1,0,1,0,0,0,0,1,NOT
more proof that muslims have rights and citizens do not citizens do not have the right to not be raped citizens do not have the right to complain about muslim rapists only muslims have rights enjoy the muslims your quisling government imported,0,0,1,1,0,1,0,0,0,OFFN
nogs jews and dykes how enriching,0,0,1,1,1,1,1,0,0,OFFN
i need a kid that is gon wash them dishes bitch is retarded,0,0,1,1,0,0,0,1,0,OFFN
would be nice if he recognised the plight of white farmers in south africa,0,1,0,0,0,0,0,0,1,NOT
this is wrong it included nigger on the end it read white lives matter nigger that why this particular incident was a bigger deal,0,1,0,1,0,0,0,0,1,NOT
ah the redneck revolt kids aka communists,0,0,1,0,1,0,0,0,0,OFFN
i do not know how to leave eastern canada i am sick of the muslimes here,1,0,0,1,0,1,0,0,0,HATE
cyborg it not that i am a fucking porch monkey but the fact that i am one fourth toaster one fourth lg smart fridge and part gamecube,1,0,0,1,1,0,0,0,0,HATE
do not trust this ghetto niggah or his pornstar attention whore wife yo,1,0,0,1,1,0,0,0,0,HATE
fuck it no one liked but we still answering brown eyes black hair,0,1,0,1,0,0,0,0,1,NOT
this is the standard bearer of the loony right claiming to want sexual harassment from a turd with frosty topping and they talk about the primacy of white people,0,1,0,1,0,0,0,0,1,NOT
youth homicide almost all black on black to the point they have a police squad dedicated to it called trident the same with youth violence blacks,0,1,0,1,1,0,0,0,0,NOT
a moslem writing with his ass wiping hand,1,0,0,1,0,1,0,0,0,HATE
welp another day zuck cuck they really hate the word faggot over there at the hook of faces,0,0,1,1,0,0,1,0,0,OFFN
i hate you faggots,1,0,0,1,0,0,1,0,0,HATE
but get to wear the ever stylish mudshark monocle take that bigots,0,1,0,0,0,0,0,0,1,NOT
i wonder if the refugee will see the irony as he is about to behead this one,0,0,1,0,0,0,0,1,0,OFFN
i just read an instagram caption that said nothing like a monday morning send with the squad i fucking hate white people,1,0,0,1,1,0,0,0,0,HATE
do not you mean niggers everywhere just seeing how fast i can lose my account with this word lol,1,0,0,1,1,0,0,0,0,HATE
they kill muslims and limited the journalism are you human,0,1,0,1,0,1,0,0,0,NOT
there are many posts on here re muslim refugees rape rape gangs grooming gangs etc so it struck me this is akin to sodom and gomorrah read genesis and think of it in relation to rapefugees i think god did the right thing,0,0,1,1,0,1,0,1,0,OFFN
are you retarded,0,0,1,1,0,0,0,0,1,OFFN
only a tiny minority of trans even have a grc effectively self id is already practised and women and girls have already been raped in prisons changing rooms etc so what is your solution to this problem,0,1,0,1,0,0,0,0,1,NOT
literally every bi queer woman i have been with has said some shit like i like that you really do not care about their sexuality like of course i do not you have been fucking with insecure dykes n bi phobics n shit smh,0,1,0,1,0,0,0,0,1,NOT
uses a picture from the aftermath of a moslem terrorist attack d oh,0,1,0,0,0,0,0,0,1,NOT
niggas looking for love we need to be looking for women like mary j blige she been looking for real love since the,0,1,0,1,0,0,0,0,1,NOT
the consequences of not recognizing when you are being duped and biologically raped are dire we are one of the sickest nations overall because people are stupid and gullable do not be stupid make an informed decision ask for the insert,0,1,0,1,0,0,0,0,1,NOT
bitch that is it i am gay n i can not wait imma buy this bitch wednesday,0,0,1,1,0,0,1,0,0,OFFN
having a period every month is so ghetto,0,1,0,0,0,0,0,0,0,NOT
good morning nazi faggot what happened last night party night hope your buddy used a condom not really lol,0,0,1,1,1,0,1,0,0,OFFN
jongin no homo but you are cute kyungsoo no homo but your dick was in my ass last night,0,1,0,1,0,0,1,0,0,NOT
so a few raghead and intolerant pc lovers got together and proclaimed themselves a majority i guess a few counter protestors police actually can demonstrate against them using hoses to wash away the grime from the streets along with a few police dogs to discourage the fleabags,1,0,0,1,1,0,0,0,0,HATE
if words have no effect in the uk i guess firebombing government buildings would not either nor firebombing moslem businesses it would be a shame if masked persons did it,1,0,0,0,0,1,0,0,0,HATE
i wreck every argument you make so you call me dumb lol ok kike,1,0,0,1,0,1,0,0,0,HATE
many british on the continent think they re the jesus because they re not immigrants they re expats,0,1,0,0,0,0,0,1,0,NOT
a lot of history here for niggers african americans it a shame the area is under siege by white and gay folks,0,0,1,1,1,0,0,0,0,OFFN
goes against the kike narrative goy,1,0,0,1,0,1,0,0,0,HATE
this shit is ghetto we don t deserve this,0,1,0,1,1,0,0,0,0,NOT
and the nazi larping is moronic even national socialism is retarded socialists will never save the white race in america in the yous a real white advocacy political movement can only be libertarian,0,0,1,1,0,0,0,0,1,OFFN
islam is founded on the principle of facilitating good and preventing harm all of its laws revolve around this concept,0,1,0,0,0,0,0,0,1,NOT
she should go meet muslims where sharia law is the rule and hang out there and then come back and tell us how she was treated wearing something as simple as she wearing in that pic she d be gang raped and beaten then charged with being a slut,1,0,0,1,0,1,1,0,0,HATE
bitch is perfect kike example she does not even pretend to be objective somehow honest she just straight up makes shit up naive goyim like kevin macdonald tried to deal with her like a white results are appalling yet predictable google exchange w k mac bitch is evil,1,0,0,1,0,1,1,0,0,HATE
kendall and harry are gay friends chill,0,0,1,1,0,0,1,0,0,OFFN
we close in minutes but old white lady,0,1,0,0,0,0,0,0,1,NOT
labour should always be written in scare quotes as labour seeing as how it has nothing to do with the working class and a whole lot to do with kike academics and other fruitcakes,1,0,0,1,0,1,0,0,0,HATE
from the sky bringing back the great king of the asians turkey is asia minor before and after mars reigns supreme before and after wars mars is the god of war,0,1,0,0,0,0,0,0,0,NOT
i am sorry i do not usually get involved but you are a disgusting human being and i fucking hate you putting other people down because of your shitty mistakes,0,1,0,1,0,0,0,0,1,NOT
census questions only harm illegal immigrants,0,1,0,0,0,0,0,1,0,NOT
well thanks greece really is my second home in a way i can only hope it returns to its glory and we one day live to see a third balkan war to rout the mudslimes out of our region for good,1,0,0,1,0,1,0,0,0,HATE
turkey is a jihadist terrorist organization and doesn t belong to any western organization,1,0,0,1,0,1,0,0,0,HATE
never hillary as a woman represents nothing i would ever stand behind she has been a rapist enabler a feminazi and all around evil human being not only no but hell no trump,0,1,0,1,0,0,0,0,1,NOT
thinks spic is mexican thinks they are right thinks they are smart,0,0,1,1,1,0,0,0,0,OFFN
merkels europe in europe if you are european and witness an act of violence by an immigrant talk about it or even video it you face arrest it a dictatorship we do not have freedom of expression here anymore we live in fear of open discussion,0,0,1,0,0,0,0,1,0,OFFN
this bitch knows what up,0,1,0,1,0,0,0,0,1,NOT
them asian girls that be acting black wit the acrylics the baby hairs laid irk me more than white bitches wit box braids,0,0,1,1,0,0,0,0,0,OFFN
i got to say as a woman i love it and white boys can not get hired these days because of these cunt feminazi demanding diversity choosing shitskins over kin not that i want to see our men reduced to this but payback is a bitch,1,0,0,1,1,0,1,0,0,HATE
these are the same british police who would arrest a man for threatening gypsies squatting in his own home after he returned from vacation who arrest women for spraying a rapist with pepper spray who allow camel jockeys to scream for jihad but arrest patriots who complain,0,0,1,1,0,1,0,1,0,OFFN
someone want to bring my white honky ass a pumpkin spice latte,0,0,1,1,1,0,0,0,0,OFFN
so like how shaun king is a trans nigger this guys a trans sand nigger so shaun king the white version of uncle ruckus thinking he black and this guy the sand nigger variant,1,0,0,1,1,0,0,0,0,HATE
do not understand how they can not just implement a feature onto console which can change their fov shits gayer james charles,0,0,1,1,0,0,0,0,1,OFFN
i am a slut for a good hardcover book,0,1,0,1,0,0,0,0,1,NOT
animals kill more lhan abuse their bodies with homosexualism that means you think humans murdering is more natural than commit perversion of homo,0,0,1,1,0,0,1,0,0,OFFN
bill o reilly out at fox i bet jesse waters will take his place or carlson good get the old folks out they are out of touch anyway however liberal women offended by sex harassment claims lol muslims rape women and they support that,1,0,0,1,0,1,1,0,0,HATE
viola liuzzo that dumbass yankee freedom rider bitch who was killed while driving a nigger agitatir around deserved to die,1,0,0,1,1,0,0,0,0,HATE
time for confession bitch,0,0,1,1,0,0,1,0,0,OFFN
my guess is he a boomer that believes america is some sorta proposition nation but seriously i doubt bill or tom would argue how blacks could be successful too but only if they were oppressed like the jew oh,0,0,1,1,1,1,0,0,0,OFFN
no you misunderstood my tweet illegal hindu and sikh can not go back to muslim country due to fear of their life but illegal muslim immigrants can go back and indian muslim are indian they belongs to india only,0,1,0,0,0,0,0,0,1,NOT
because ashkenazi jews are so genetically close to europeans lolz this is funny yes i know it the latest canard being tossed around when not too long ago the ashkenazi jew was being hailed as proof that these demons were a race unto themselves which they are,0,0,1,1,0,1,0,0,0,OFFN
dear white america we gave them the vote we gave them equality we gave them our cities we gave them ebt housing affirmative action we gave them stardom multi million dollar salaries guess what they still hate you they will always hate you stop apologizing white man fight back,0,0,1,1,1,0,0,0,0,OFFN
being on some app store being some bigtech bitch can be banned anytime lose of revenue long approval process in the best case do not progressive web apps being apple bitch,0,1,0,1,0,0,0,0,1,NOT
right here bro found jesus who is not just a prophet howz life you an ex muslim too from yeg,0,1,0,1,0,1,0,0,0,NOT
typical muzrat tactics think they are in a good position they spew their hate but when faced with strength they roll on their back,1,0,0,0,0,1,0,0,0,HATE
sick of women,0,1,0,0,0,0,0,0,1,NOT
did you know muzzie do not pay taxes or interest,1,0,0,0,0,1,0,0,0,HATE
of you states now have or more immigrants and states have over immigrants as of the you had million legal illegal immigrants now it million and growing by m m a year california is now immigrant,0,1,0,0,0,0,0,1,0,NOT
why is your white ass in my black business you are white,0,1,0,1,0,0,0,0,1,NOT
twitter faggot bitch,0,0,1,1,0,0,1,0,0,OFFN
i dindu nuffin,0,1,0,0,0,0,0,0,1,NOT
damn these facebook people are so fucking predictable they are blaming gun violence on men time to dig up some skeletons,0,1,0,1,0,0,1,0,0,NOT
drop choerry pics,0,1,0,1,0,0,0,0,1,NOT
brittania brittania hours ago khan has no ideas muslims with low iqs only know how to quote out of their war manual he should never have been elected a muslim can never represent all other ethnics apart from their own inbred people,1,0,0,1,0,1,0,0,0,HATE
fuck her she nothing but a kike that will play which ever side that will get her paid,1,0,0,1,0,1,0,0,0,HATE
its totly gcc countries muslim leaders fault beacuse of them these mother fukers can do anything with muslims of end ia,0,1,0,1,0,1,0,0,0,NOT
no it because you are a worthless corrupt racist delusional and dumb as a retarded somalian bitch that why,1,0,0,1,1,0,0,0,0,HATE
liberals want women raped at the hands of rd world refugees who carry unheard of diseases these muslim refugees will enslave your beautiful daughters and when you are crying about it the liberals will scream you are racist liberals will destroy your lives and laugh at your child demise,1,0,0,1,0,1,0,1,0,HATE
rewatching queer as folk for the th time,0,1,0,1,0,0,0,0,1,NOT
in my country evangelicals are the actual jews tho,0,1,0,1,0,1,0,0,0,NOT
shaun king is that lily white faggot who pretends he a nigger and race baits constantly on twitter for blm and the niggers eat it up like hotcakes,1,0,0,1,1,0,0,0,0,HATE
he is infected with jihadi virus he will spread it to others,1,0,0,0,0,1,0,0,0,HATE
